Date,Pendapatan,Belanja
1/1/2018,72173799959815,24490030363282
2/1/2018,55585835310854,35363791517560
3/1/2018,81386320822478,53849297915526
4/1/2018,92788964943459,74217145910265
5/1/2018,77984948956558,84188712834271
6/1/2018,100383470399850,91605699806998
7/1/2018,83650955814238,90600874413106
8/1/2018,81522084133130,91153605725377
9/1/2018,104580663656136,75961093129376
10/1/2018,109107408774881,92885960806929
11/1/2018,83706703789812,95644764381859
12/1/2018,168093332309789,283931170302576
1/1/2019,78762227015338,21482632394505
2/1/2019,67548306041281,35989073286672
3/1/2019,84632999661730,54538612371342
4/1/2019,91296959640567,67350670781636
5/1/2019,90059894847274,128614569038813
6/1/2019,106060959180118,62320694819509
7/1/2019,109570025888875,119625757653222
8/1/2019,86800612945156,87821625139730
9/1/2019,96043428701179,81555723676146
10/1/2019,116171350346846,104082568152775
11/1/2019,97716273113725,125956389720913
12/1/2019,173744226367286,298684966569560
1/1/2020,79481866352619,25587249097941
2/1/2020,57163592440321,40120873105088
3/1/2020,78879038465540,59795759356866
4/1/2020,81790554853733,68292847384998
5/1/2020,70642159715005,91975996325255
6/1/2020,134908557645524,91718765002248
7/1/2020,60669803559096,74730420843412
8/1/2020,114493568800835,80132003635305
9/1/2020,111675971760926,89513920829208
10/1/2020,91369519372291,83072996815834
11/1/2020,87400992164227,108461246528313
12/1/2020,147014784998373,308555799873323
1/1/2021,61170327986248,24064801074792
2/1/2021,58360092246919,27991218944995
3/1/2021,67781511206135,50962290002335
4/1/2021,73549392904880,62701184441254
5/1/2021,84408211412426,88327615052471
6/1/2021,106987937131476,102604296440786
7/1/2021,82831930249296,91963936780966
