,0
OpenSource,81
Student,53
EdLevel,116
UndergradMajor,740
EduOther,164
OrgSize,98
DevType,67
YearsCode,9
Age1stCode,13
YearsCodePro,16
JobSat,1
MgrIdiot,498
MgrMoney,502
MgrWant,498
LastInt,423
FizzBuzz,37
JobFactors,3
ResumeUpdate,41
CompTotal,815
CompFreq,206
ConvertedComp,822
WorkWeekHrs,125
WorkPlan,123
WorkChallenge,168
WorkRemote,8
WorkLoc,32
ImpSyn,5
CodeRev,1
CodeRevHrs,2469
UnitTests,29
PurchaseHow,198
PurchaseWhat,38
LanguageWorkedWith,11
LanguageDesireNextYear,137
DatabaseWorkedWith,456
DatabaseDesireNextYear,1055
PlatformWorkedWith,422
PlatformDesireNextYear,561
WebFrameWorkedWith,1413
WebFrameDesireNextYear,1634
MiscTechWorkedWith,2209
MiscTechDesireNextYear,1474
DevEnviron,29
OpSys,34
Containers,82
BlockchainOrg,2354
BlockchainIs,2637
BetterLife,100
ITperson,35
OffOn,38
SocialMedia,301
Extraversion,20
ScreenName,513
SOVisit1st,325
SOVisitFreq,5
SOVisitTo,1
SOFindAnswer,3
SOTimeSaved,51
SOHowMuchTime,1936
SOAccount,1
SOPartFreq,1148
SOJobs,6
EntTeams,5
WelcomeChange,89
SONewContent,1995
Age,297
Gender,75
Trans,123
Sexuality,547
Ethnicity,683
Dependents,144
SurveyLength,19
SurveyEase,14
